Time				DIO0		DIO1		DIO2		DIO3		DIO4		DIO5		DIO6		DIO7		DIO8		DIO9		DIO10		DIO11		DIO12		DIO13		DIO14		DIO15
00:00:00.0106290		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0207450		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0208414		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0209572		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0210755		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0211797		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0212713		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0213887		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0215098		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0216334		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0217520		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0218539		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0219421		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0220333		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0221441		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0222459		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0223477		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0224574		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0225645		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0226721		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0227575		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0228704		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0229779		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0230999		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0232243		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
