Time				DIO0		DIO1		DIO2		DIO3		DIO4		DIO5		DIO6		DIO7		DIO8		DIO9		DIO10		DIO11		DIO12		DIO13		DIO14		DIO15
00:00:00.0817750		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0822870		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0824315		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0825805		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0827546		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0829053		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0830292		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0831791		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0834098		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0835350		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0836845		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0838368		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0839825		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0841365		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0842494		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0843709		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0844781		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0845836		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0846903		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0848525		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0849843		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:00.0851485		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
