TimeStamp		 Channel 00	 Channel 01
00:00:00.0820466	 ,4.7021  V	,4.1393  V	
00:00:00.0825356	 ,1.9973  V	,1.8856  V	
00:00:00.0827170	 ,4.7881  V	,4.1973  V	
00:00:00.0829018	 ,1.9890  V	,1.8822  V	
00:00:00.0831313	 ,4.9020  V	,4.2785  V	
00:00:00.0832938	 ,1.9808  V	,1.8816  V	
00:00:00.0834663	 ,4.7485  V	,4.2422  V	
00:00:00.0836141	 ,1.9905  V	,1.8795  V	
00:00:00.0837413	 ,4.6923  V	,4.1964  V	
00:00:00.0838690	 ,1.9789  V	,1.8749  V	
00:00:00.0839909	 ,4.8266  V	,4.2358  V	
00:00:00.0841182	 ,1.9890  V	,1.8785  V	
00:00:00.0842406	 ,4.7738  V	,4.2400  V	
00:00:00.0843674	 ,1.9979  V	,1.8862  V	
00:00:00.0844857	 ,4.7018  V	,4.2016  V	
00:00:00.0846076	 ,2.0168  V	,1.9011  V	
00:00:00.0847328	 ,4.8421  V	,4.2425  V	
00:00:00.0849015	 ,2.0067  V	,1.9057  V	
00:00:00.0850452	 ,4.8644  V	,4.2858  V	
00:00:00.0851980	 ,2.0021  V	,1.8996  V	
00:00:00.0853129	 ,4.6908  V	,4.2272  V	
00:00:00.0854229	 ,2.0061  V	,1.8968  V	
00:00:00.0855707	 ,4.7332  V	,4.2022  V	
00:00:00.0856808	 ,2.0427  V	,1.9188  V	
00:00:00.0857900	 ,4.8354  V	,4.2419  V	
00:00:00.0858889	 ,2.0165  V	,1.9097  V	
00:00:00.0860006	 ,4.7341  V	,4.2312  V	
00:00:00.0861266	 ,2.0333  V	,1.9188  V	
00:00:00.0862531	 ,4.7338  V	,4.2116  V	
00:00:00.0863713	 ,2.0296  V	,1.9194  V	
00:00:00.0864752	 ,4.8846  V	,4.2748  V	
00:00:00.0865794	 ,2.0195  V	,1.9124  V	
00:00:00.0866809	 ,4.8061  V	,4.2730  V	
00:00:00.0867979	 ,2.0177  V	,1.9094  V	
00:00:00.0868980	 ,4.6673  V	,4.2013  V	
00:00:00.0869920	 ,2.0180  V	,1.9051  V	
00:00:00.0870902	 ,4.7802  V	,4.2110  V	
00:00:00.0871825	 ,2.0229  V	,1.9094  V	
00:00:00.0872733	 ,4.8180  V	,4.2522  V	
00:00:00.0873669	 ,2.0418  V	,1.9246  V	
00:00:00.0874634	 ,4.7066  V	,4.2147  V	
00:00:00.0875553	 ,2.0186  V	,1.9152  V	
00:00:00.0876768	 ,4.7933  V	,4.2284  V	
00:00:00.0877951	 ,2.0253  V	,1.9188  V	
00:00:00.0878690	 ,4.8974  V	,4.2950  V	
00:00:00.0879663	 ,2.0418  V	,1.9295  V	
00:00:00.0880574	 ,4.7411  V	,4.2538  V	
00:00:00.0881818	 ,2.0339  V	,1.9234  V	
00:00:00.0882730	 ,4.6838  V	,4.1982  V	
00:00:00.0883670	 ,2.0198  V	,1.9091  V	
00:00:00.0884630	 ,4.8159  V	,4.2223  V	
00:00:00.0885542	 ,2.0116  V	,1.9048  V	
00:00:00.0886769	 ,4.7768  V	,4.2342  V	
00:00:00.0887960	 ,2.0171  V	,1.9054  V	
00:00:00.0888687	 ,4.7057  V	,4.2019  V	
00:00:00.0889660	 ,2.0064  V	,1.9014  V	
00:00:00.0890608	 ,4.8504  V	,4.2492  V	
00:00:00.0891540	 ,2.0177  V	,1.9112  V	
00:00:00.0892509	 ,4.8730  V	,4.2898  V	
00:00:00.0893437	 ,2.0150  V	,1.9091  V	
00:00:00.0894406	 ,4.6932  V	,4.2278  V	
00:00:00.0895342	 ,2.0085  V	,1.9014  V	
00:00:00.0896278	 ,4.7277  V	,4.2016  V	
00:00:00.0897324	 ,2.0085  V	,1.8999  V	
00:00:00.1606693	 ,4.8309  V	,4.2409  V	
00:00:00.1608401	 ,2.0223  V	,1.9103  V	
00:00:00.1610260	 ,4.7274  V	,4.2275  V	
00:00:00.1611923	 ,2.0275  V	,1.9145  V	
00:00:00.1614050	 ,4.7298  V	,4.2083  V	
00:00:00.1615778	 ,2.0134  V	,1.9069  V	
00:00:00.1617461	 ,4.8879  V	,4.2699  V	
00:00:00.1618771	 ,2.0073  V	,1.9075  V	
00:00:00.1620360	 ,4.8153  V	,4.2779  V	
00:00:00.1621637	 ,2.0250  V	,1.9100  V	
00:00:00.1622971	 ,4.6737  V	,4.1991  V	
00:00:00.1624260	 ,2.0497  V	,1.9213  V	
00:00:00.1625549	 ,4.7842  V	,4.2138  V	
00:00:00.1627031	 ,2.0104  V	,1.9112  V	
00:00:00.1628357	 ,4.8190  V	,4.2513  V	
00:00:00.1629827	 ,2.0046  V	,1.9008  V	
00:00:00.1631071	 ,4.7024  V	,4.2171  V	
00:00:00.1632241	 ,2.0040  V	,1.8947  V	
00:00:00.1633547	 ,4.7836  V	,4.2251  V	
00:00:00.1634540	 ,2.0162  V	,1.9042  V	
00:00:00.1635920	 ,4.8937  V	,4.2876  V	
00:00:00.1637623	 ,2.0174  V	,1.9124  V	
00:00:00.1639151	 ,4.7509  V	,4.2589  V	
00:00:00.1640797	 ,2.0250  V	,1.9118  V	
00:00:00.1642599	 ,4.6883  V	,4.2007  V	
00:00:00.1644229	 ,2.0369  V	,1.9216  V	
00:00:00.1645937	 ,4.8223  V	,4.2312  V	
00:00:00.1647292	 ,2.0348  V	,1.9258  V	
00:00:00.1648872	 ,4.7839  V	,4.2455  V	
00:00:00.1650326	 ,2.0333  V	,1.9207  V	
00:00:00.1651956	 ,4.7015  V	,4.2083  V	
00:00:00.1653306	 ,2.0650  V	,1.9371  V	
00:00:00.1655100	 ,4.8388  V	,4.2522  V	
00:00:00.1656463	 ,2.0211  V	,1.9277  V	
00:00:00.1657835	 ,4.8647  V	,4.2919  V	
00:00:00.1659440	 ,2.0339  V	,1.9258  V	
00:00:00.1660803	 ,4.6865  V	,4.2300  V	
00:00:00.1662597	 ,2.0504  V	,1.9298  V	
00:00:00.1663948	 ,4.7262  V	,4.1991  V	
00:00:00.1665627	 ,2.0320  V	,1.9210  V	
00:00:00.1666977	 ,4.8339  V	,4.2403  V	
00:00:00.1668603	 ,2.0287  V	,1.9194  V	
00:00:00.1670328	 ,4.7320  V	,4.2284  V	
00:00:00.1671957	 ,2.0165  V	,1.9081  V	
00:00:00.1673308	 ,4.7347  V	,4.2040  V	
00:00:00.1675102	 ,2.0360  V	,1.9185  V	
00:00:00.1676744	 ,4.8919  V	,4.2675  V	
00:00:00.1678399	 ,2.0351  V	,1.9286  V	
00:00:00.1679758	 ,4.8122  V	,4.2739  V	
00:00:00.1681421	 ,2.0595  V	,1.9402  V	
00:00:00.1682833	 ,4.6667  V	,4.2123  V	
00:00:00.1684188	 ,2.0262  V	,1.9237  V	
00:00:00.1685961	 ,4.7750  V	,4.2055  V	
00:00:00.1687308	 ,2.0348  V	,1.9265  V	
00:00:00.1688872	 ,4.8183  V	,4.2431  V	
00:00:00.1689866	 ,2.0403  V	,1.9286  V	
00:00:00.1690875	 ,4.7063  V	,4.2138  V	
00:00:00.1691766	 ,2.0266  V	,1.9213  V	
00:00:00.1692982	 ,4.7884  V	,4.2235  V	
00:00:00.1693955	 ,2.0189  V	,1.9115  V	
00:00:00.1694862	 ,4.9010  V	,4.2928  V	
00:00:00.1696106	 ,2.0186  V	,1.9152  V	
00:00:00.1697128	 ,4.7488  V	,4.2574  V	
00:00:00.1697962	 ,2.0183  V	,1.9097  V	
00:00:00.2406776	 ,4.6844  V	,4.1976  V	
00:00:00.2408533	 ,2.0003  V	,1.8941  V	
00:00:00.2410277	 ,4.8150  V	,4.2309  V	
00:00:00.2412022	 ,2.0327  V	,1.9152  V	
00:00:00.2413755	 ,4.7762  V	,4.2458  V	
00:00:00.2415360	 ,2.0150  V	,1.9139  V	
00:00:00.2416793	 ,4.6841  V	,4.2055  V	
00:00:00.2418078	 ,2.0128  V	,1.9017  V	
00:00:00.2419658	 ,4.8473  V	,4.2510  V	
00:00:00.2420943	 ,2.0137  V	,1.9069  V	
00:00:00.2422216	 ,4.8714  V	,4.2782  V	
00:00:00.2423514	 ,2.0537  V	,1.9322  V	
00:00:00.2425004	 ,4.7024  V	,4.2312  V	
00:00:00.2426207	 ,2.0516  V	,1.9359  V	
00:00:00.2427385	 ,4.7201  V	,4.2055  V	
00:00:00.2428879	 ,2.0256  V	,1.9252  V	
00:00:00.2430349	 ,4.8336  V	,4.2470  V	
00:00:00.2431523	 ,2.0470  V	,1.9280  V	
00:00:00.2432644	 ,4.7268  V	,4.2284  V	
00:00:00.2433724	 ,2.0345  V	,1.9225  V	
00:00:00.2434738	 ,4.7277  V	,4.2147  V	
00:00:00.2435731	 ,2.0162  V	,1.9155  V	
00:00:00.2436700	 ,4.8815  V	,4.2660  V	
00:00:00.2437694	 ,2.0613  V	,1.9408  V	
00:00:00.2438696	 ,4.8217  V	,4.2867  V	
00:00:00.2439660	 ,2.0397  V	,1.9356  V	
00:00:00.2440908	 ,4.6749  V	,4.2156  V	
00:00:00.2441832	 ,2.0345  V	,1.9225  V	
00:00:00.2442748	 ,4.7762  V	,4.2013  V	
00:00:00.2443708	 ,2.0299  V	,1.9200  V	
00:00:00.2444657	 ,4.8251  V	,4.2467  V	
00:00:00.2445564	 ,2.0302  V	,1.9152  V	
00:00:00.2446783	 ,4.7021  V	,4.2223  V	
00:00:00.2447728	 ,2.0345  V	,1.9210  V	
00:00:00.2448684	 ,4.7781  V	,4.2269  V	
00:00:00.2449657	 ,2.0299  V	,1.9222  V	
00:00:00.2450905	 ,4.8888  V	,4.2629  V	
00:00:00.2451833	 ,2.0427  V	,1.9356  V	
00:00:00.2452744	 ,4.7448  V	,4.2455  V	
00:00:00.2453705	 ,2.0372  V	,1.9307  V	
00:00:00.2454658	 ,4.6789  V	,4.1967  V	
00:00:00.2455565	 ,2.0400  V	,1.9322  V	
00:00:00.2456764	 ,4.8217  V	,4.2309  V	
00:00:00.2457712	 ,2.0476  V	,1.9350  V	
00:00:00.2458747	 ,4.7790  V	,4.2449  V	
00:00:00.2459658	 ,2.0467  V	,1.9365  V	
00:00:00.2460910	 ,4.7045  V	,4.2092  V	
00:00:00.2461822	 ,2.0269  V	,1.9234  V	
00:00:00.2463025	 ,4.8397  V	,4.2473  V	
00:00:00.2464264	 ,2.0214  V	,1.9225  V	
00:00:00.2465537	 ,4.8669  V	,4.2895  V	
00:00:00.2466769	 ,2.0452  V	,1.9417  V	
00:00:00.2467968	 ,4.6877  V	,4.2284  V	
00:00:00.2468682	 ,2.0266  V	,1.9222  V	
00:00:00.2469659	 ,4.7216  V	,4.1955  V	
00:00:00.2470903	 ,2.0323  V	,1.9210  V	
00:00:00.2471819	 ,4.8382  V	,4.2403  V	
00:00:00.2473026	 ,2.0177  V	,1.9088  V	
00:00:00.2474265	 ,4.7277  V	,4.2293  V	
00:00:00.2475226	 ,2.0067  V	,1.9057  V	
