TimeStamp		 Channel 00	 Channel 01
00:00:00.0819916	 ,-0.0777  V	,-0.1442  V	
00:00:00.0824789	 ,-0.7744  V	,-0.7994  V	
00:00:00.0826448	 ,-0.0691  V	,-0.0945  V	
00:00:00.0828197	 ,-0.4598  V	,-0.4738  V	
00:00:00.0830762	 ,-0.0664  V	,-0.0383  V	
00:00:00.0833304	 ,0.1799  V	,0.1909  V	
00:00:00.0836116	 ,-0.0691  V	,-0.0206  V	
00:00:00.0838366	 ,0.6273  V	,0.6578  V	
00:00:00.0840915	 ,-0.0731  V	,-0.0514  V	
00:00:00.0843711	 ,0.4952  V	,0.5214  V	
00:00:00.0845686	 ,-0.0822  V	,-0.1070  V	
00:00:00.0848437	 ,-0.1204  V	,-0.1207  V	
00:00:00.0851113	 ,-0.0832  V	,-0.1451  V	
00:00:00.0853683	 ,-0.6807  V	,-0.7045  V	
00:00:00.0855904	 ,-0.0780  V	,-0.1238  V	
00:00:00.0858031	 ,-0.7240  V	,-0.7530  V	
00:00:00.0860593	 ,-0.0679  V	,-0.0746  V	
00:00:00.0863229	 ,-0.2492  V	,-0.2559  V	
00:00:00.0865897	 ,-0.0639  V	,-0.0258  V	
00:00:00.0868007	 ,0.4063  V	,0.4222  V	
00:00:00.0869744	 ,-0.0703  V	,-0.0313  V	
00:00:00.0871349	 ,0.6438  V	,0.6755  V	
00:00:00.0873024	 ,-0.0819  V	,-0.0761  V	
00:00:00.0874650	 ,0.3163  V	,0.3334  V	
00:00:00.0876173	 ,-0.0832  V	,-0.1271  V	
00:00:00.0877782	 ,-0.3203  V	,-0.3288  V	
00:00:00.0879449	 ,-0.0813  V	,-0.1445  V	
00:00:00.0881050	 ,-0.7720  V	,-0.7970  V	
00:00:00.0882713	 ,-0.0761  V	,-0.1115  V	
00:00:00.0884454	 ,-0.6459  V	,-0.6648  V	
00:00:00.0886162	 ,-0.0667  V	,-0.0511  V	
00:00:00.0887779	 ,-0.0148  V	,-0.0148  V	
00:00:00.0889467	 ,-0.0658  V	,-0.0212  V	
00:00:00.0891084	 ,0.5418  V	,0.5687  V	
00:00:00.0892706	 ,-0.0725  V	,-0.0377  V	
00:00:00.0894648	 ,0.5937  V	,0.6255  V	
00:00:00.0896265	 ,-0.0816  V	,-0.0905  V	
00:00:00.0897575	 ,0.0996  V	,0.1122  V	
00:00:00.0898876	 ,-0.0856  V	,-0.1366  V	
00:00:00.0899927	 ,-0.5272  V	,-0.5437  V	
00:00:00.0900929	 ,-0.0798  V	,-0.1341  V	
00:00:00.0902107	 ,-0.7680  V	,-0.7973  V	
00:00:00.0903093	 ,-0.0691  V	,-0.0911  V	
00:00:00.0904021	 ,-0.4643  V	,-0.4775  V	
00:00:00.0904924	 ,-0.0679  V	,-0.0362  V	
00:00:00.0906114	 ,0.1781  V	,0.1903  V	
00:00:00.0907038	 ,-0.0688  V	,-0.0185  V	
00:00:00.0907949	 ,0.6374  V	,0.6670  V	
00:00:00.0909189	 ,-0.0740  V	,-0.0526  V	
00:00:00.0910220	 ,0.4866  V	,0.5150  V	
00:00:00.0911070	 ,-0.0841  V	,-0.1064  V	
00:00:00.0912359	 ,-0.1353  V	,-0.1320  V	
00:00:00.0913287	 ,-0.0835  V	,-0.1433  V	
00:00:00.0914186	 ,-0.6645  V	,-0.6877  V	
00:00:00.0915434	 ,-0.0758  V	,-0.1247  V	
00:00:00.0916682	 ,-0.7094  V	,-0.7378  V	
00:00:00.0917700	 ,-0.0673  V	,-0.0758  V	
00:00:00.0918620	 ,-0.2281  V	,-0.2379  V	
00:00:00.0919851	 ,-0.0649  V	,-0.0298  V	
00:00:00.0920795	 ,0.4015  V	,0.4210  V	
00:00:00.0921764	 ,-0.0710  V	,-0.0291  V	
00:00:00.0922729	 ,0.6590  V	,0.6920  V	
00:00:00.0923665	 ,-0.0801  V	,-0.0725  V	
00:00:00.0924581	 ,0.3191  V	,0.3401  V	
00:00:00.1605744	 ,-0.0844  V	,-0.1225  V	
00:00:00.1607021	 ,-0.3200  V	,-0.3279  V	
00:00:00.1608495	 ,-0.0813  V	,-0.1408  V	
00:00:00.1609739	 ,-0.7683  V	,-0.7939  V	
00:00:00.1610995	 ,-0.0764  V	,-0.1091  V	
00:00:00.1612288	 ,-0.6264  V	,-0.6493  V	
00:00:00.1613787	 ,-0.0645  V	,-0.0505  V	
00:00:00.1615503	 ,-0.0060  V	,-0.0035  V	
00:00:00.1617145	 ,-0.0670  V	,-0.0200  V	
00:00:00.1618960	 ,0.5379  V	,0.5635  V	
00:00:00.1620557	 ,-0.0725  V	,-0.0374  V	
00:00:00.1622088	 ,0.6029  V	,0.6346  V	
00:00:00.1623459	 ,-0.0813  V	,-0.0874  V	
00:00:00.1625410	 ,0.1265  V	,0.1341  V	
00:00:00.1627064	 ,-0.0822  V	,-0.1369  V	
00:00:00.1628912	 ,-0.5104  V	,-0.5275  V	
00:00:00.1630414	 ,-0.0795  V	,-0.1357  V	
00:00:00.1632065	 ,-0.7659  V	,-0.7927  V	
00:00:00.1633567	 ,-0.0694  V	,-0.0893  V	
00:00:00.1635062	 ,-0.4549  V	,-0.4707  V	
00:00:00.1636523	 ,-0.0679  V	,-0.0349  V	
00:00:00.1637997	 ,0.1830  V	,0.1912  V	
00:00:00.1639512	 ,-0.0676  V	,-0.0188  V	
00:00:00.1641027	 ,0.6413  V	,0.6728  V	
00:00:00.1642874	 ,-0.0746  V	,-0.0517  V	
00:00:00.1644545	 ,0.4955  V	,0.5229  V	
00:00:00.1645900	 ,-0.0847  V	,-0.1039  V	
00:00:00.1647546	 ,-0.1271  V	,-0.1256  V	
00:00:00.1648942	 ,-0.0844  V	,-0.1445  V	
00:00:00.1650675	 ,-0.6734  V	,-0.6938  V	
00:00:00.1651984	 ,-0.0761  V	,-0.1167  V	
00:00:00.1653405	 ,-0.7405  V	,-0.7680  V	
00:00:00.1655047	 ,-0.0682  V	,-0.0685  V	
00:00:00.1656718	 ,-0.2473  V	,-0.2568  V	
00:00:00.1658397	 ,-0.0685  V	,-0.0304  V	
00:00:00.1660027	 ,0.3835  V	,0.4015  V	
00:00:00.1661394	 ,-0.0722  V	,-0.0328  V	
00:00:00.1663184	 ,0.6432  V	,0.6761  V	
00:00:00.1664535	 ,-0.0798  V	,-0.0746  V	
00:00:00.1666181	 ,0.3197  V	,0.3386  V	
00:00:00.1667819	 ,-0.0835  V	,-0.1289  V	
00:00:00.1669482	 ,-0.3062  V	,-0.3139  V	
00:00:00.1670923	 ,-0.0810  V	,-0.1469  V	
00:00:00.1672228	 ,-0.7756  V	,-0.7985  V	
00:00:00.1673858	 ,-0.0758  V	,-0.1051  V	
00:00:00.1675496	 ,-0.6374  V	,-0.6600  V	
00:00:00.1677147	 ,-0.0636  V	,-0.0493  V	
00:00:00.1678502	 ,-0.0175  V	,-0.0148  V	
00:00:00.1680267	 ,-0.0667  V	,-0.0145  V	
00:00:00.1681917	 ,0.5159  V	,0.5431  V	
00:00:00.1683555	 ,-0.0737  V	,-0.0374  V	
00:00:00.1685259	 ,0.5962  V	,0.6233  V	
00:00:00.1686606	 ,-0.0826  V	,-0.0923  V	
00:00:00.1688248	 ,0.1070  V	,0.1189  V	
00:00:00.1689652	 ,-0.0826  V	,-0.1338  V	
00:00:00.1691031	 ,-0.5190  V	,-0.5354  V	
00:00:00.1692785	 ,-0.0795  V	,-0.1338  V	
00:00:00.1694139	 ,-0.7771  V	,-0.8022  V	
00:00:00.1695794	 ,-0.0700  V	,-0.0893  V	
00:00:00.1697432	 ,-0.4585  V	,-0.4775  V	
00:00:00.1699070	 ,-0.0670  V	,-0.0374  V	
00:00:00.1700449	 ,0.1866  V	,0.1939  V	
00:00:00.1702219	 ,-0.0697  V	,-0.0249  V	
00:00:00.1703853	 ,0.6313  V	,0.6624  V	
00:00:00.2405946	 ,-0.0743  V	,-0.0505  V	
00:00:00.2407703	 ,0.4866  V	,0.5159  V	
00:00:00.2409452	 ,-0.0859  V	,-0.1091  V	
00:00:00.2412166	 ,-0.1311  V	,-0.1308  V	
00:00:00.2414744	 ,-0.0844  V	,-0.1460  V	
00:00:00.2416973	 ,-0.6694  V	,-0.6917  V	
00:00:00.2419548	 ,-0.0777  V	,-0.1207  V	
00:00:00.2422331	 ,-0.7262  V	,-0.7536  V	
00:00:00.2424675	 ,-0.0688  V	,-0.0740  V	
00:00:00.2426884	 ,-0.2553  V	,-0.2593  V	
00:00:00.2429134	 ,-0.0685  V	,-0.0252  V	
00:00:00.2431265	 ,0.3792  V	,0.3984  V	
00:00:00.2434147	 ,-0.0710  V	,-0.0264  V	
00:00:00.2436368	 ,0.6334  V	,0.6661  V	
00:00:00.2438712	 ,-0.0807  V	,-0.0673  V	
00:00:00.2441274	 ,0.3212  V	,0.3413  V	
00:00:00.2443499	 ,-0.0829  V	,-0.1222  V	
00:00:00.2445716	 ,-0.3301  V	,-0.3359  V	
00:00:00.2447604	 ,-0.0832  V	,-0.1344  V	
00:00:00.2449128	 ,-0.7738  V	,-0.8016  V	
00:00:00.2450671	 ,-0.0734  V	,-0.1082  V	
00:00:00.2452322	 ,-0.6474  V	,-0.6691  V	
00:00:00.2453837	 ,-0.0652  V	,-0.0520  V	
00:00:00.2455647	 ,-0.0163  V	,-0.0160  V	
00:00:00.2457556	 ,-0.0673  V	,-0.0163  V	
00:00:00.2459133	 ,0.5296  V	,0.5553  V	
00:00:00.2461029	 ,-0.0740  V	,-0.0380  V	
00:00:00.2462548	 ,0.5907  V	,0.6215  V	
00:00:00.2464474	 ,-0.0807  V	,-0.0887  V	
00:00:00.2466001	 ,0.1027  V	,0.1140  V	
00:00:00.2467557	 ,-0.0826  V	,-0.1329  V	
00:00:00.2469146	 ,-0.5196  V	,-0.5351  V	
00:00:00.2470685	 ,-0.0786  V	,-0.1286  V	
00:00:00.2471975	 ,-0.7643  V	,-0.7948  V	
00:00:00.2473428	 ,-0.0703  V	,-0.0920  V	
00:00:00.2474869	 ,-0.4567  V	,-0.4717  V	
00:00:00.2476618	 ,-0.0658  V	,-0.0349  V	
00:00:00.2477993	 ,0.1805  V	,0.1894  V	
00:00:00.2479414	 ,-0.0673  V	,-0.0169  V	
00:00:00.2480904	 ,0.6246  V	,0.6575  V	
00:00:00.2482226	 ,-0.0746  V	,-0.0484  V	
00:00:00.2483724	 ,0.4936  V	,0.5205  V	
00:00:00.2485104	 ,-0.0859  V	,-0.1112  V	
00:00:00.2486487	 ,-0.1204  V	,-0.1241  V	
00:00:00.2487867	 ,-0.0822  V	,-0.1466  V	
00:00:00.2489234	 ,-0.6523  V	,-0.6761  V	
00:00:00.2490691	 ,-0.0774  V	,-0.1268  V	
00:00:00.2492227	 ,-0.7213  V	,-0.7472  V	
00:00:00.2493721	 ,-0.0685  V	,-0.0710  V	
00:00:00.2495101	 ,-0.2614  V	,-0.2663  V	
00:00:00.2496484	 ,-0.0685  V	,-0.0246  V	
00:00:00.2497876	 ,0.3774  V	,0.3948  V	
00:00:00.2499255	 ,-0.0710  V	,-0.0285  V	
00:00:00.2501013	 ,0.6322  V	,0.6651  V	
00:00:00.2502224	 ,-0.0810  V	,-0.0743  V	
00:00:00.2503734	 ,0.3053  V	,0.3267  V	
00:00:00.2505102	 ,-0.0832  V	,-0.1228  V	
00:00:00.2506465	 ,-0.3255  V	,-0.3337  V	
00:00:00.2507906	 ,-0.0832  V	,-0.1424  V	
00:00:00.2509421	 ,-0.7680  V	,-0.7961  V	
00:00:00.2510907	 ,-0.0743  V	,-0.1137  V	
00:00:00.2512520	 ,-0.6386  V	,-0.6624  V	
00:00:00.2513891	 ,-0.0661  V	,-0.0529  V	
00:00:00.2514860	 ,-0.0233  V	,-0.0212  V	
00:00:00.3206193	 ,-0.0667  V	,-0.0230  V	
00:00:00.3208193	 ,0.5269  V	,0.5547  V	
00:00:00.3210196	 ,-0.0722  V	,-0.0398  V	
